unit_id,cluster_id
1179685455,4
1179685422,2
1179685420,1
1179685635,1
1179685392,1
1179685438,1
1179685458,3
1179685456,1
1179685373,2
1179685462,1
1179685493,1
1179685659,3
1179685436,5
1179685433,4
1179685431,1
1179685357,2
1179685365,3
1179685363,3
1179685361,4
1179685354,4
1179685700,2
1179685663,3
1179685451,1
1179685445,3
1179685414,2
1179685468,3
1179685387,1
1179685466,5
1179685464,4
1179685481,2
1179685479,5
1179685518,3
1179685514,3
1179685647,3
1179685477,1
1179685531,2
1179685529,3
1179685641,4
1179685426,2
1179685400,1
1179685630,2
1179685379,2
1179685637,4
1179685429,1
1179685408,1
1179685508,2
1179685504,1
1179685502,2
1179685381,3
1179685369,4
1179685522,2
1179685444,2
1179685442,1
1179685440,3
1179685418,2
1179685406,1
1179685649,5
1179685512,5
1179685920,2
1179685936,1
1179685934,5
1179686114,2
1179686101,2
1179686099,3
1179685918,3
1179686108,3
1179685983,2
1179685982,1
1179685979,2
1179685943,3
1179685941,4
1179686006,5
1179686146,3
1179686122,3
1179685972,5
1179685970,3
1179685965,2
1179686047,3
1179685977,5
1179685975,1
1179685993,5
1179686020,4
1179686064,3
1179686062,2
1179685968,4
1179685963,3
1179685961,3
1179685959,2
1179685955,5
1179685953,1
1179685951,5
1179686118,2
1179686026,5
1179686055,5
1179685938,3
1179686110,3
1179685989,5
1179685987,4
1179685910,2
1179686103,4
1179685924,2
1179686140,3
1179685945,5
1179686008,5
1179686112,4
1179686000,3
1179685998,4
1179686598,3
1179686596,5
1179686583,2
1179686528,2
1179686547,5
1179686545,1
1179686623,2
1179686619,4
1179686711,1
1179686568,3
1179686529,2
1179686539,2
1179686535,2
1179686521,2
1179686561,2
1179686559,5
1179686555,2
1179686553,1
1179686709,3
1179686707,3
1179686587,2
1179687470,4
1179687432,2
1179687497,3
1179687478,3
1179687596,4
1179687542,1
1179687499,4
1179687491,5
1179687489,1
1179687690,1
1179687678,3
1179687446,1
1179687476,1
1179687474,5
1179687472,3
1179687699,3
1179687555,3
1179687544,2
1179687404,2
1179687402,3
1179687400,4
1179687589,2
1179687487,1
1179687484,1
1179687428,4
1179687420,3
1179687451,1
1179687376,1
1179687575,3
1179687703,3
1179687565,5
1179687536,1
1179687553,3
1179687453,3
